department,program_type,admission_fees,tuition_fees_per_year,tuition_fees_per_credit,semester_fees,additional_fees,scholarship_percentage
Computer Science       ,Undergraduate,20000,150000,4000,10000,5000,25
Electrical Engineering ,Undergraduate,25000,180000,4500,12000,7000,30
Mechanical Engineering ,Undergraduate,22000,200000,5000,15000,8000,20
Civil Engineering      ,Undergraduate,30000,250000,6000,20000,10000,40
Business Administration,Undergraduate,18000,120000,3500,8000,4000,10
Physics                ,Undergraduate,28000,220000,5500,18000,9000,35
Mathematics            ,Undergraduate,15000,100000,2500,6000,3000,15
Chemistry              ,Undergraduate,32000,270000,6500,25000,12000,50
Biology                ,Undergraduate,20000,160000,4000,11000,6000,20
Economics              ,Undergraduate,25000,190000,4700,14000,7500,30
Psychology             ,Undergraduate,26000,210000,5200,16000,8500,25
Sociology              ,Undergraduate,30000,240000,6000,20000,10000,40
Political Science      ,Undergraduate,17000,110000,3000,7000,3500,12
Architecture           ,Undergraduate,27000,230000,5800,19000,9500,30
Environmental Science  ,Undergraduate,19000,140000,3700,9000,4500,18
